"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Female","Seattle Public Utilities","28","53.07","R","Active"
"White","Female","City Auditor's Office","40","56.48","R","Active"
"Hispanic or Latino/a/x","Female","Planning and Community Office","45","67.00","R","Active"
"Asian","Male","Seattle Police Department","61","45.45","R","Active"
"White","Female","Seattle City Light","49","72.26","R","Active"
"White","Female","Seattle City Light","54","39.87","R","Active"
"White","Female","Seattle Police Department","29","42.34","R","Active"
"White","Male","Seattle Department of Transportation","63","60.23","R","Active"
"White","Female","Seattle Public Library","37","32.83","R","Active"
"White","Male","Finance and Administrative Service","42","44.62","R","Active"
"Asian","Female","Seattle Public Library","30","34.48","R","Leave with Pay"
"White","Female","Seattle City Light","56","81.63","R","Active"
"White","Male","Seattle Center","38","43.48","T","Active"
"White","Male","Employees Retirement System","58","133.38","R","Active"
"White","Female","Seattle Public Utilities","30","75.13","R","Active"
"White","Male","Seattle Department of Transportation","38","40.12","R","Active"
"White","Female","Seattle Public Library","72","32.71","R","Active"
"White","Male","Construction and Inspections","45","65.25","R","Active"
"Asian","Female","Seattle Public Utilities","43","63.26","R","Active"
"White","Female","Seattle Public Library","43","52.57","R","Active"
"White","Male","Seattle City Light","56","63.19","R","Active"
"White","Female","Seattle Public Library","43","45.60","R","Active"
"White","Female","Seattle Public Library","35","34.04","R","Active"
"White","Male","Seattle Police Department","53","67.46","R","Active"
"White","Female","Seattle Department of Transportation","32","43.18","R","Active"
"White","Male","Seattle Fire Department","70","76.06","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Office of Arts and Culture","50","36.63","R","Active"
"White","Male","Seattle Fire Department","43","49.48","R","Active"
"White","Male","Seattle Public Utilities","59","63.19","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","52","48.45","R","Leave with Pay"
"White","Female","Seattle City Light","65","89.61","R","Leave with Pay"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","55","43.85","R","Active"
"Asian","Male","Parks and Recreation Department","77","25.98","T","Active"
"Two or More Races","Female","Seattle Police Department","31","67.46","R","Active"
"White","Female","Seattle Public Utilities","44","82.15","R","Active"
"White","Female","Seattle Department of Transportation","43","85.48","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","41","62.40","R","Active"
"White","Male","Seattle City Light","52","77.25","R","Active"
"White","Female","Finance and Administrative Service","61","48.00","R","Active"
"Two or More Races","Female","Information Technology","57","74.08","R","Active"
"Asian","Male","Seattle Center","37","40.24","R","Active"
"White","Male","Seattle Police Department","47","67.13","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","46","60.23","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","55","67.95","R","Leave with Pay"
"Two or More Races","Male","Seattle Police Department","35","68.43","R","Active"
"Black or African American","Male","Seattle Public Utilities","30","21.70","R","Active"
"White","Male","Seattle Police Department","37","67.46","R","Active"
"White","Male","Seattle Police Department","50","67.46","R","Active"
"White","Male","Seattle City Light","57","77.36","R","Active"
"White","Male","Information Technology","62","78.97","R","Active"
"White","Female","Information Technology","59","72.68","R","Active"
"White","Male","Seattle Public Utilities","23","38.78","R","Active"
"White","Female","Human Services","46","85.04","R","Active"
"White","Male","Seattle Fire Department","32","47.00","R","Active"
"White","Male","Seattle Fire Department","34","47.00","R","Active"
"White","Male","Seattle Public Utilities","34","78.33","R","Active"
"Black or African American","Female","Civil Rights Office","40","58.20","R","Leave with Pay"
"Black or African American","Male","Seattle Fire Department","41","52.94","R","Active"
"White","Female","Seattle Public Utilities","56","60.23","R","Active"
"Black or African American","Male","Parks and Recreation Department","40","40.75","R","Active"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","55","76.82","R","Active"
"Two or More Races","Male","Seattle Police Department","33","67.46","R","Active"
"American Indian or Alaska Native","Male","Seattle Fire Department","55","112.81","R","Active"
"White","Male","Seattle Police Department","42","67.46","R","Leave Of Absence"
"White","Male","Seattle City Light","32","63.26","R","Active"
"Black or African American","Male","Seattle City Light","65","81.93","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","54","77.36","R","Active"
"White","Male","Office of Economic Development and Special Events Office","69","41.59","R","Active"
"White","Male","Seattle Municipal Courts","52","73.49","R","Active"
"Asian","Female","Parks and Recreation Department","65","25.98","T","Active"
"White","Female","Human Services","53","51.62","R","Active"
"White","Female","Seattle Police Department","30","47.54","R","Active"
"Asian","Male","Construction and Inspections","61","83.24","R","Active"
"White","Female","Seattle Department of Transportation","35","65.48","T","Active"
"White","Male","Seattle City Light","31","77.36","R","Active"
"White","Female","Seattle Police Department","55","67.46","R","Leave with Pay"
"White","Male","Seattle Center","49","43.48","T","Active"
"White","Male","Seattle Police Department","57","79.50","R","Active"
"White","Female","Construction and Inspections","52","76.02","R","Active"
"White","Male","Seattle Center","37","51.89","R","Active"
"White","Male","Seattle Department of Transportation","31","21.70","R","Active"
"American Indian or Alaska Native","Female","Parks and Recreation Department","67","25.98","T","Active"
"White","Female","Seattle City Light","54","88.87","R","Active"
"Asian","Female","Information Technology","36","74.13","R","Active"
"White","Female","Seattle Public Library","54","62.83","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","38","56.62","R","Active"
"Asian","Male","Information Technology","32","62.58","R","Active"
"White","Male","Seattle Police Department","61","68.43","R","Active"
"White","Female","Seattle Department of Transportation","44","89.61","R","Active"
"White","Male","Seattle Department of Transportation","32","67.91","R","Active"
"White","Male","Seattle Public Utilities","54","37.82","R","Active"
"Not Specified","Female","Seattle City Light","37","51.29","R","Active"
"Asian","Female","Finance and Administrative Service","48","75.16","R","Active"
"Asian","Male","Seattle Department of Transportation","33","84.28","R","Leave with Pay"
"White","Female","Neighborhoods","59","39.87","R","Active"
"Two or More Races","Female","Human Resources","46","53.27","R","Active"
"White","Female","Seattle Public Utilities","62","84.28","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","40","76.13","R","Active"
"White","Male","Seattle Fire Department","50","64.34","R","Active"
"White","Female","Seattle City Light","51","72.76","R","Active"
"White","Male","Seattle Public Utilities","59","89.61","R","Active"
"Asian","Male","Finance and Administrative Service","43","58.45","R","Active"
"Black or African American","Male","Seattle Center","46","50.03","T","Active"
"Asian","Male","Seattle Department of Transportation","30","67.63","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","43","63.26","R","Active"
"White","Male","Seattle Public Utilities","70","78.25","R","Active"
"White","Male","Seattle Police Department","36","67.46","R","Leave with Pay"
"White","Male","Seattle Public Library","34","41.32","R","Active"
"White","Male","Seattle Fire Department","57","52.94","R","Active"
"White","Male","Seattle Fire Department","43","55.42","R","Active"
"Two or More Races","Female","Information Technology","45","75.16","R","Active"
"Asian","Female","Finance and Administrative Service","50","72.26","R","Active"
"Black or African American","Female","Human Services","36","46.89","R","Active"
"Asian","Female","Education and Early Learning","36","64.48","R","Leave with Pay"
"White","Male","Seattle City Light","40","77.36","R","Active"
"White","Male","Seattle Public Library","54","59.55","R","Active"
"Black or African American","Male","Seattle Public Utilities","36","36.30","R","Active"
"Asian","Male","Seattle Department of Transportation","40","43.72","R","Active"
"White","Male","Seattle Police Department","48","67.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","51","52.94","R","Active"
"Two or More Races","Male","Parks and Recreation Department","51","48.00","R","Active"
"Asian","Male","Parks and Recreation Department","56","46.95","R","Active"
"White","Male","Law Department","46","85.27","R","Active"
"White","Male","Seattle Fire Department","57","52.94","R","Active"
"White","Male","Seattle Police Department","67","100.72","R","Active"
"Asian","Male","Seattle Police Department","64","67.46","R","Active"
"White","Male","Seattle Police Department","46","77.63","R","Active"
"White","Male","Seattle Police Department","57","81.93","R","Active"
"White","Male","Parks and Recreation Department","41","37.49","R","Active"
"Black or African American","Female","Parks and Recreation Department","29","25.98","T","Active"
